TamanhoTabela;TamanhoConjunto;FuncaoHash;TempoInsercao(ms);Colisoes;TempoBusca(ms);Comparacoes
1000;10000;DIVISAO;2;49902;0;36
1000;10000;MULTIPLICACAO;3;49720;0;28
1000;10000;DOBRAMENTO;5;49776;0;29
1000;100000;DIVISAO;41;5004743;0;272
1000;100000;MULTIPLICACAO;52;5000428;0;259
1000;100000;DOBRAMENTO;43;4998687;0;282
1000;1000000;DIVISAO;37173;499994493;1;2932
1000;1000000;MULTIPLICACAO;35317;499998187;0;2973
1000;1000000;DOBRAMENTO;7750;499991636;0;2882
10000;10000;DIVISAO;0;5050;0;10
10000;10000;MULTIPLICACAO;1;4812;0;8
10000;10000;DOBRAMENTO;1;28238;0;18
10000;100000;DIVISAO;6;500086;0;32
10000;100000;MULTIPLICACAO;11;500732;0;23
10000;100000;DOBRAMENTO;25;2841334;0;195
10000;1000000;DIVISAO;2999;50007626;0;303
10000;1000000;MULTIPLICACAO;3025;50006456;0;297
10000;1000000;DOBRAMENTO;16325;283979594;0;1711
100000;10000;DIVISAO;0;487;0;5
100000;10000;MULTIPLICACAO;3;492;0;5
100000;10000;DOBRAMENTO;1;28238;0;18
100000;100000;DIVISAO;5;50227;0;7
100000;100000;MULTIPLICACAO;7;49646;0;7
100000;100000;DOBRAMENTO;25;2841334;0;195
100000;1000000;DIVISAO;216;5000438;0;37
100000;1000000;MULTIPLICACAO;413;5009586;0;32
100000;1000000;DOBRAMENTO;15235;283979594;0;1711
