Algoritmo,Tamanho,Seed,Tempo,Trocas,Interacoes
Insertion Sort,1000,42,0.0160,237493,238492
Counting Sort,1000,42,0.0003,1000,2000
Insertion Sort,1000,43,0.0163,250128,251127
Counting Sort,1000,43,0.0003,1000,2000
Insertion Sort,1000,44,0.0158,248834,249833
Counting Sort,1000,44,0.0003,1000,2000
Insertion Sort,1000,45,0.0182,250932,251931
Counting Sort,1000,45,0.0003,1000,2000
Insertion Sort,1000,46,0.0161,250406,251405
Counting Sort,1000,46,0.0003,1000,2000
Insertion Sort,10000,42,1.6877,25157902,25167901
Counting Sort,10000,42,0.0014,10000,20000
Insertion Sort,10000,43,1.6809,25102500,25112499
Counting Sort,10000,43,0.0013,10000,20000
Insertion Sort,10000,44,1.7770,24765138,24775137
Counting Sort,10000,44,0.0013,10000,20000
Insertion Sort,10000,45,1.6975,24895274,24905273
Counting Sort,10000,45,0.0013,10000,20000
Insertion Sort,10000,46,1.6900,24898125,24908124
Counting Sort,10000,46,0.0013,10000,20000
Counting Sort,100000,42,0.0104,100000,200000
Counting Sort,100000,43,0.0109,100000,200000
Counting Sort,100000,44,0.0102,100000,200000
Counting Sort,100000,45,0.0108,100000,200000
Counting Sort,100000,46,0.0104,100000,200000
Counting Sort,500000,42,0.0526,500000,1000000
Counting Sort,500000,43,0.0520,500000,1000000
Counting Sort,500000,44,0.0537,500000,1000000
Counting Sort,500000,45,0.0533,500000,1000000
Counting Sort,500000,46,0.0542,500000,1000000
Counting Sort,1000000,42,0.1036,1000000,2000000
Counting Sort,1000000,43,0.1045,1000000,2000000
Counting Sort,1000000,44,0.1075,1000000,2000000
Counting Sort,1000000,45,0.1042,1000000,2000000
Counting Sort,1000000,46,0.1059,1000000,2000000
